Date,Open,High,Low,Close,Volume
2020-09-10,0.68,0.68,0.68,0.68,0
2020-09-11,0.67,0.67,0.67,0.67,0
2020-09-14,0.68,0.68,0.68,0.68,0
2020-09-15,0.68,0.68,0.68,0.68,0
2020-09-16,0.69,0.69,0.69,0.69,0
2020-09-17,0.69,0.69,0.69,0.69,0
2020-09-18,0.7,0.7,0.7,0.7,0
2020-09-21,0.68,0.68,0.68,0.68,0
2020-09-22,0.68,0.68,0.68,0.68,0
2020-09-23,0.68,0.68,0.68,0.68,0
2020-09-24,0.67,0.67,0.67,0.67,0
2020-09-25,0.66,0.66,0.66,0.66,0
2020-09-28,0.67,0.67,0.67,0.67,0
2020-09-29,0.66,0.66,0.66,0.66,0
2020-09-30,0.69,0.69,0.69,0.69,0
2020-10-01,0.68,0.68,0.68,0.68,0
2020-10-02,0.7,0.7,0.7,0.7,0
2020-10-05,0.78,0.78,0.78,0.78,0
2020-10-06,0.76,0.76,0.76,0.76,0
2020-10-07,0.81,0.81,0.81,0.81,0
2020-10-08,0.78,0.78,0.78,0.78,0
2020-10-09,0.79,0.79,0.79,0.79,0
2020-10-12,0.765,0.765,0.765,0.765,0
2020-10-13,0.74,0.74,0.74,0.74,0
2020-10-14,0.73,0.73,0.73,0.73,0
2020-10-15,0.74,0.74,0.74,0.74,0
2020-10-16,0.76,0.76,0.76,0.76,0
2020-10-19,0.78,0.78,0.78,0.78,0
2020-10-20,0.81,0.81,0.81,0.81,0
2020-10-21,0.83,0.83,0.83,0.83,0
2020-10-22,0.87,0.87,0.87,0.87,0
2020-10-23,0.85,0.85,0.85,0.85,0
2020-10-26,0.81,0.81,0.81,0.81,0
2020-10-27,0.79,0.79,0.79,0.79,0
2020-10-28,0.79,0.79,0.79,0.79,0
2020-10-29,0.85,0.85,0.85,0.85,0
2020-10-30,0.88,0.88,0.88,0.88,0
2020-11-02,0.87,0.87,0.87,0.87,0
2020-11-03,0.9,0.9,0.9,0.9,0
2020-11-04,0.78,0.78,0.78,0.78,0
2020-11-05,0.79,0.79,0.79,0.79,0
2020-11-06,0.83,0.83,0.83,0.83,0
