Date,Close,High,Low,Open,Volume,ticker,source,is_filled
2023-08-15,318.15032958984375,321.3431124974694,317.20140269076705,319.27720479224416,16966300,MSFT,yfinance,0
2023-08-16,317.3777160644531,321.35981544543756,316.7833697149334,317.77393688756257,20698900,MSFT,yfinance,0
2023-08-17,313.8908996582031,318.8338196904496,313.22720641667973,317.5163787813706,21257200,MSFT,yfinance,0
2023-08-18,313.49468994140625,315.3767614049802,308.61117111318896,311.5234408357638,24744800,MSFT,yfinance,0
2023-08-21,318.84375,319.72533901894826,314.04940875807927,314.9309977770275,24040000,MSFT,yfinance,0
2023-08-22,319.4182434082031,323.00409130288494,318.42767635532056,322.4295757132843,16102000,MSFT,yfinance,0
2023-08-23,323.9154357910156,326.0946954631443,320.4088198566661,320.76543972560916,21166400,MSFT,yfinance,0
2023-08-24,316.9517517089844,329.8390391710411,316.9418363646179,329.71026061311085,23281400,MSFT,yfinance,0
2023-08-25,319.93341064453125,322.29093522814463,315.7928167026934,318.4376444732823,21684100,MSFT,yfinance,0
2023-08-28,320.64654541015625,323.07341638765513,318.68521189548767,322.5880482380964,14808500,MSFT,yfinance,0
2023-08-29,325.3121643066406,325.87679484238714,318.8437619677204,318.8437619677204,19284600,MSFT,yfinance,0
2023-08-30,325.68853759765625,326.6989050711042,323.3706144081888,325.5696743925102,15222100,MSFT,yfinance,0
2023-08-31,324.66827392578125,327.7885541636896,323.69750731033304,326.09469293106076,26411000,MSFT,yfinance,0
2023-09-01,325.559814453125,328.8583898761106,323.69754330969545,328.184811445848,14931200,MSFT,yfinance,0
2023-09-05,330.4036865234375,331.69144205655795,325.5598285021328,325.89661773179773,18553900,MSFT,yfinance,0
2023-09-06,329.7399597167969,331.3050423323038,327.06541662823025,330.2352432347013,17535800,MSFT,yfinance,0
2023-09-07,326.7980041503906,329.9380850110211,325.9263002427993,328.16499162095795,18381000,MSFT,yfinance,0
2023-09-08,331.1168518066406,332.989038125567,326.35222650031665,326.9762886066254,19530100,MSFT,yfinance,0
2023-09-11,334.75225830078125,335.2277414058345,332.26592513119544,334.05884921795905,16583300,MSFT,yfinance,0
