,SPY,UPRO,SSO,TLT,GLD,^VIX,^SPX,Open_fred,High_fred,Low_fred,Close_fred,Volume_fred,Open_fred,High_fred,Low_fred,Close_fred,Volume_fred
2020-09-10,,,,,,,,5.16,5.16,5.16,5.16,0,0.68,0.68,0.68,0.68,0.0
2020-09-11,,,,,,,,5.21,5.21,5.21,5.21,0,0.67,0.67,0.67,0.67,0.0
2020-09-14,,,,,,,,5.18,5.18,5.18,5.18,0,0.68,0.68,0.68,0.68,0.0
2020-09-15,,,,,,,,5.14,5.14,5.14,5.14,0,0.68,0.68,0.68,0.68,0.0
2020-09-16,,,,,,,,5.07,5.07,5.07,5.07,0,0.69,0.69,0.69,0.69,0.0
2020-09-17,,,,,,,,5.14,5.14,5.14,5.14,0,0.69,0.69,0.69,0.69,0.0
2020-09-18,,,,,,,,5.16,5.16,5.16,5.16,0,0.7,0.7,0.7,0.7,0.0
2020-09-21,,,,,,,,5.42,5.42,5.42,5.42,0,0.68,0.68,0.68,0.68,0.0
2020-09-22,,,,,,,,5.45,5.45,5.45,5.45,0,0.68,0.68,0.68,0.68,0.0
2020-09-23,,,,,,,,5.47,5.47,5.47,5.47,0,0.68,0.68,0.68,0.68,0.0
2020-09-24,,,,,,,,5.64,5.64,5.64,5.64,0,0.67,0.67,0.67,0.67,0.0
2020-09-25,,,,,,,,5.64,5.64,5.64,5.64,0,0.66,0.66,0.66,0.66,0.0
2020-09-28,,,,,,,,5.52,5.52,5.52,5.52,0,0.67,0.67,0.67,0.67,0.0
2020-09-29,,,,,,,,5.5,5.5,5.5,5.5,0,0.66,0.66,0.66,0.66,0.0
2020-09-30,,,,,,,,5.41,5.41,5.41,5.41,0,0.69,0.69,0.69,0.69,0.0
2020-10-01,,,,,,,,5.36,5.36,5.36,5.36,0,0.68,0.68,0.68,0.68,0.0
2020-10-02,,,,,,,,5.38,5.38,5.38,5.38,0,0.7,0.7,0.7,0.7,0.0
2020-10-05,,,,,,,,5.18,5.18,5.18,5.18,0,0.78,0.78,0.78,0.78,0.0
2020-10-06,,,,,,,,5.06,5.06,5.06,5.06,0,0.76,0.76,0.76,0.76,0.0
2020-10-07,,,,,,,,5.02,5.02,5.02,5.02,0,0.81,0.81,0.81,0.81,0.0
2020-10-08,,,,,,,,4.97,4.97,4.97,4.97,0,0.78,0.78,0.78,0.78,0.0
2020-10-09,,,,,,,,4.92,4.92,4.92,4.92,0,0.79,0.79,0.79,0.79,0.0
2020-10-12,,,,,,,,4.92,4.92,4.92,4.92,0,0.765,0.765,0.765,0.765,0.0
2020-10-13,,,,,,,,4.88,4.88,4.88,4.88,0,0.74,0.74,0.74,0.74,0.0
2020-10-14,,,,,,,,4.89,4.89,4.89,4.89,0,0.73,0.73,0.73,0.73,0.0
2020-10-15,,,,,,,,5.01,5.01,5.01,5.01,0,0.74,0.74,0.74,0.74,0.0
2020-10-16,,,,,,,,4.94,4.94,4.94,4.94,0,0.76,0.76,0.76,0.76,0.0
2020-10-19,,,,,,,,4.91,4.91,4.91,4.91,0,0.78,0.78,0.78,0.78,0.0
2020-10-20,,,,,,,,4.9,4.9,4.9,4.9,0,0.81,0.81,0.81,0.81,0.0
2020-10-21,,,,,,,,4.91,4.91,4.91,4.91,0,0.83,0.83,0.83,0.83,0.0
2020-10-22,,,,,,,,4.88,4.88,4.88,4.88,0,0.87,0.87,0.87,0.87,0.0
2020-10-23,,,,,,,,4.87,4.87,4.87,4.87,0,0.85,0.85,0.85,0.85,0.0
2020-10-26,,,,,,,,5.03,5.03,5.03,5.03,0,0.81,0.81,0.81,0.81,0.0
2020-10-27,,,,,,,,5.06,5.06,5.06,5.06,0,0.79,0.79,0.79,0.79,0.0
2020-10-28,,,,,,,,5.29,5.29,5.29,5.29,0,0.79,0.79,0.79,0.79,0.0
2020-10-29,,,,,,,,5.25,5.25,5.25,5.25,0,0.85,0.85,0.85,0.85,0.0
2020-10-30,,,,,,,,5.25,5.25,5.25,5.25,0,0.88,0.88,0.88,0.88,0.0
2020-11-02,,,,,,,,5.25,5.25,5.25,5.25,0,0.87,0.87,0.87,0.87,0.0
2020-11-03,,,,,,,,5.07,5.07,5.07,5.07,0,0.9,0.9,0.9,0.9,0.0
2020-11-04,,,,,,,,4.79,4.79,4.79,4.79,0,0.78,0.78,0.78,0.78,0.0
2020-11-05,,,,,,,,4.59,4.59,4.59,4.59,0,0.79,0.79,0.79,0.79,0.0
2020-11-06,,,,,,,,4.67,4.67,4.67,4.67,0,0.83,0.83,0.83,0.83,0.0
2020-11-09,,,,,,,,4.22,4.22,4.22,4.22,0,0.96,0.96,0.96,0.96,0.0
2020-11-10,,,,,,,,4.37,4.37,4.37,4.37,0,0.98,0.98,0.98,0.98,0.0
2020-11-11,,,,,,,,4.37,4.37,4.37,4.37,0,0.93,0.93,0.93,0.93,0.0
2020-11-12,,,,,,,,4.62,4.62,4.62,4.62,0,0.88,0.88,0.88,0.88,0.0
2020-11-13,,,,,,,,4.63,4.63,4.63,4.63,0,0.89,0.89,0.89,0.89,0.0
2020-11-16,,,,,,,,4.5,4.5,4.5,4.5,0,0.91,0.91,0.91,0.91,0.0
2020-11-17,,,,,,,,4.48,4.48,4.48,4.48,0,0.87,0.87,0.87,0.87,0.0
2020-11-18,,,,,,,,4.42,4.42,4.42,4.42,0,0.88,0.88,0.88,0.88,0.0
2020-11-19,,,,,,,,4.48,4.48,4.48,4.48,0,0.86,0.86,0.86,0.86,0.0
2020-11-20,,,,,,,,4.49,4.49,4.49,4.49,0,0.83,0.83,0.83,0.83,0.0
2020-11-23,,,,,,,,4.43,4.43,4.43,4.43,0,0.86,0.86,0.86,0.86,0.0
2020-11-24,,,,,,,,4.31,4.31,4.31,4.31,0,0.88,0.88,0.88,0.88,0.0
2020-11-25,,,,,,,,4.33,4.33,4.33,4.33,0,0.88,0.88,0.88,0.88,0.0
2020-11-27,,,,,,,,4.35,4.35,4.35,4.35,0,0.84,0.84,0.84,0.84,0.0
2020-11-30,,,,,,,,4.33,4.33,4.33,4.33,0,0.84,0.84,0.84,0.84,0.0
2020-12-01,,,,,,,,4.21,4.21,4.21,4.21,0,0.92,0.92,0.92,0.92,0.0
2020-12-02,,,,,,,,4.17,4.17,4.17,4.17,0,0.95,0.95,0.95,0.95,0.0
2020-12-03,,,,,,,,4.1,4.1,4.1,4.1,0,0.92,0.92,0.92,0.92,0.0
2020-12-04,,,,,,,,4.03,4.03,4.03,4.03,0,0.97,0.97,0.97,0.97,0.0
2020-12-07,,,,,,,,4.03,4.03,4.03,4.03,0,0.94,0.94,0.94,0.94,0.0
2020-12-08,,,,,,,,4.03,4.03,4.03,4.03,0,0.92,0.92,0.92,0.92,0.0
2020-12-09,,,,,,,,4.04,4.04,4.04,4.04,0,0.95,0.95,0.95,0.95,0.0
2020-12-10,,,,,,,,4.08,4.08,4.08,4.08,0,0.92,0.92,0.92,0.92,0.0
2020-12-11,,,,,,,,4.13,4.13,4.13,4.13,0,0.9,0.9,0.9,0.9,0.0
2020-12-14,,,,,,,,4.07,4.07,4.07,4.07,0,0.9,0.9,0.9,0.9,0.0
2020-12-15,,,,,,,,4.06,4.06,4.06,4.06,0,0.92,0.92,0.92,0.92,0.0
2020-12-16,,,,,,,,4.06,4.06,4.06,4.06,0,0.92,0.92,0.92,0.92,0.0
2020-12-17,,,,,,,,4.05,4.05,4.05,4.05,0,0.94,0.94,0.94,0.94,0.0
2020-12-18,,,,,,,,4.03,4.03,4.03,4.03,0,0.95,0.95,0.95,0.95,0.0
2020-12-21,,,,,,,,4.18,4.18,4.18,4.18,0,0.95,0.95,0.95,0.95,0.0
2020-12-22,,,,,,,,4.12,4.12,4.12,4.12,0,0.93,0.93,0.93,0.93,0.0
2020-12-23,,,,,,,,4.07,4.07,4.07,4.07,0,0.96,0.96,0.96,0.96,0.0
2020-12-24,,,,,,,,4.05,4.05,4.05,4.05,0,0.94,0.94,0.94,0.94,0.0
2020-12-28,,,,,,,,3.89,3.89,3.89,3.89,0,0.94,0.94,0.94,0.94,0.0
2020-12-29,,,,,,,,3.85,3.85,3.85,3.85,0,0.94,0.94,0.94,0.94,0.0
2020-12-30,,,,,,,,3.87,3.87,3.87,3.87,0,0.93,0.93,0.93,0.93,0.0
2020-12-31,,,,,,,,3.86,3.86,3.86,3.86,0,0.93,0.93,0.93,0.93,0.0
