Date,ticker,Open,Close,High,Low,Volume
1997-07-14,BAMLH0A0HYM2,2.71,2.71,2.71,2.71,0
1997-07-15,BAMLH0A0HYM2,2.69,2.69,2.69,2.69,0
1997-07-16,BAMLH0A0HYM2,2.71,2.71,2.71,2.71,0
1997-07-17,BAMLH0A0HYM2,2.7,2.7,2.7,2.7,0
1997-07-18,BAMLH0A0HYM2,2.67,2.67,2.67,2.67,0
1997-07-21,BAMLH0A0HYM2,2.66,2.66,2.66,2.66,0
1997-07-22,BAMLH0A0HYM2,2.72,2.72,2.72,2.72,0
1997-07-23,BAMLH0A0HYM2,2.69,2.69,2.69,2.69,0
1997-07-24,BAMLH0A0HYM2,2.69,2.69,2.69,2.69,0
1997-07-25,BAMLH0A0HYM2,2.66,2.66,2.66,2.66,0
1997-07-28,BAMLH0A0HYM2,2.68,2.68,2.68,2.68,0
1997-07-29,BAMLH0A0HYM2,2.7,2.7,2.7,2.7,0
1997-07-30,BAMLH0A0HYM2,2.73,2.73,2.73,2.73,0
1997-07-31,BAMLH0A0HYM2,2.71,2.71,2.71,2.71,0
1997-08-01,BAMLH0A0HYM2,2.57,2.57,2.57,2.57,0
1997-08-04,BAMLH0A0HYM2,2.55,2.55,2.55,2.55,0
1997-08-05,BAMLH0A0HYM2,2.55,2.55,2.55,2.55,0
1997-08-06,BAMLH0A0HYM2,2.56,2.56,2.56,2.56,0
1997-08-07,BAMLH0A0HYM2,2.52,2.52,2.52,2.52,0
1997-08-08,BAMLH0A0HYM2,2.49,2.49,2.49,2.49,0
1997-08-11,BAMLH0A0HYM2,2.5,2.5,2.5,2.5,0
1997-08-12,BAMLH0A0HYM2,2.51,2.51,2.51,2.51,0
1997-08-13,BAMLH0A0HYM2,2.53,2.53,2.53,2.53,0
1997-08-14,BAMLH0A0HYM2,2.54,2.54,2.54,2.54,0
1997-08-15,BAMLH0A0HYM2,2.56,2.56,2.56,2.56,0
1997-08-18,BAMLH0A0HYM2,2.61,2.61,2.61,2.61,0
1997-08-19,BAMLH0A0HYM2,2.6,2.6,2.6,2.6,0
1997-08-20,BAMLH0A0HYM2,2.58,2.58,2.58,2.58,0
1997-08-21,BAMLH0A0HYM2,2.55,2.55,2.55,2.55,0
1997-08-22,BAMLH0A0HYM2,2.52,2.52,2.52,2.52,0
1997-08-25,BAMLH0A0HYM2,2.5,2.5,2.5,2.5,0
1997-08-26,BAMLH0A0HYM2,2.51,2.51,2.51,2.51,0
1997-08-27,BAMLH0A0HYM2,2.51,2.51,2.51,2.51,0
1997-08-28,BAMLH0A0HYM2,2.57,2.57,2.57,2.57,0
1997-08-29,BAMLH0A0HYM2,2.54,2.54,2.54,2.54,0
1997-08-31,BAMLH0A0HYM2,2.59,2.59,2.59,2.59,0
1997-09-01,BAMLH0A0HYM2,,,,,0
1997-09-02,BAMLH0A0HYM2,2.62,2.62,2.62,2.62,0
1997-09-03,BAMLH0A0HYM2,2.6,2.6,2.6,2.6,0
1997-09-04,BAMLH0A0HYM2,2.61,2.61,2.61,2.61,0
1997-09-05,BAMLH0A0HYM2,2.6,2.6,2.6,2.6,0
1997-09-08,BAMLH0A0HYM2,2.6,2.6,2.6,2.6,0
1997-09-09,BAMLH0A0HYM2,2.59,2.59,2.59,2.59,0
1997-09-10,BAMLH0A0HYM2,2.55,2.55,2.55,2.55,0
1997-09-11,BAMLH0A0HYM2,2.55,2.55,2.55,2.55,0
1997-09-12,BAMLH0A0HYM2,2.62,2.62,2.62,2.62,0
1997-09-15,BAMLH0A0HYM2,2.61,2.61,2.61,2.61,0
1997-09-16,BAMLH0A0HYM2,2.69,2.69,2.69,2.69,0
1997-09-17,BAMLH0A0HYM2,2.65,2.65,2.65,2.65,0
1997-09-18,BAMLH0A0HYM2,2.59,2.59,2.59,2.59,0
1997-09-19,BAMLH0A0HYM2,2.59,2.59,2.59,2.59,0
1997-09-22,BAMLH0A0HYM2,2.59,2.59,2.59,2.59,0
1997-09-23,BAMLH0A0HYM2,2.57,2.57,2.57,2.57,0
1997-09-24,BAMLH0A0HYM2,2.61,2.61,2.61,2.61,0
1997-09-25,BAMLH0A0HYM2,2.54,2.54,2.54,2.54,0
1997-09-26,BAMLH0A0HYM2,2.57,2.57,2.57,2.57,0
1997-09-29,BAMLH0A0HYM2,2.55,2.55,2.55,2.55,0
1997-09-30,BAMLH0A0HYM2,2.59,2.59,2.59,2.59,0
1997-10-01,BAMLH0A0HYM2,2.63,2.63,2.63,2.63,0
1997-10-02,BAMLH0A0HYM2,2.63,2.63,2.63,2.63,0
1997-10-03,BAMLH0A0HYM2,2.61,2.61,2.61,2.61,0
1997-10-06,BAMLH0A0HYM2,2.63,2.63,2.63,2.63,0
1997-10-07,BAMLH0A0HYM2,2.62,2.62,2.62,2.62,0
1997-10-08,BAMLH0A0HYM2,2.49,2.49,2.49,2.49,0
1997-10-09,BAMLH0A0HYM2,2.51,2.51,2.51,2.51,0
1997-10-10,BAMLH0A0HYM2,2.51,2.51,2.51,2.51,0
1997-10-13,BAMLH0A0HYM2,2.54,2.54,2.54,2.54,0
1997-10-14,BAMLH0A0HYM2,2.51,2.51,2.51,2.51,0
1997-10-15,BAMLH0A0HYM2,2.48,2.48,2.48,2.48,0
1997-10-16,BAMLH0A0HYM2,2.47,2.47,2.47,2.47,0
1997-10-17,BAMLH0A0HYM2,2.44,2.44,2.44,2.44,0
1997-10-20,BAMLH0A0HYM2,2.45,2.45,2.45,2.45,0
1997-10-21,BAMLH0A0HYM2,2.45,2.45,2.45,2.45,0
1997-10-22,BAMLH0A0HYM2,2.46,2.46,2.46,2.46,0
1997-10-23,BAMLH0A0HYM2,2.55,2.55,2.55,2.55,0
1997-10-24,BAMLH0A0HYM2,2.58,2.58,2.58,2.58,0
1997-10-27,BAMLH0A0HYM2,2.84,2.84,2.84,2.84,0
1997-10-28,BAMLH0A0HYM2,2.82,2.82,2.82,2.82,0
1997-10-29,BAMLH0A0HYM2,2.83,2.83,2.83,2.83,0
1997-10-30,BAMLH0A0HYM2,2.89,2.89,2.89,2.89,0
1997-10-31,BAMLH0A0HYM2,2.99,2.99,2.99,2.99,0
1997-11-03,BAMLH0A0HYM2,2.91,2.91,2.91,2.91,0
1997-11-04,BAMLH0A0HYM2,2.84,2.84,2.84,2.84,0
1997-11-05,BAMLH0A0HYM2,2.81,2.81,2.81,2.81,0
1997-11-06,BAMLH0A0HYM2,2.83,2.83,2.83,2.83,0
1997-11-07,BAMLH0A0HYM2,2.83,2.83,2.83,2.83,0
1997-11-10,BAMLH0A0HYM2,2.81,2.81,2.81,2.81,0
1997-11-11,BAMLH0A0HYM2,2.8,2.8,2.8,2.8,0
1997-11-12,BAMLH0A0HYM2,2.83,2.83,2.83,2.83,0
1997-11-13,BAMLH0A0HYM2,2.86,2.86,2.86,2.86,0
1997-11-14,BAMLH0A0HYM2,2.88,2.88,2.88,2.88,0
1997-11-17,BAMLH0A0HYM2,2.89,2.89,2.89,2.89,0
1997-11-18,BAMLH0A0HYM2,2.88,2.88,2.88,2.88,0
1997-11-19,BAMLH0A0HYM2,2.91,2.91,2.91,2.91,0
1997-11-20,BAMLH0A0HYM2,2.89,2.89,2.89,2.89,0
1997-11-21,BAMLH0A0HYM2,2.9,2.9,2.9,2.9,0
1997-11-24,BAMLH0A0HYM2,2.87,2.87,2.87,2.87,0
1997-11-25,BAMLH0A0HYM2,2.87,2.87,2.87,2.87,0
1997-11-26,BAMLH0A0HYM2,2.85,2.85,2.85,2.85,0
1997-11-27,BAMLH0A0HYM2,2.85,2.85,2.85,2.85,0
1997-11-28,BAMLH0A0HYM2,2.84,2.84,2.84,2.84,0
1997-11-30,BAMLH0A0HYM2,2.9,2.9,2.9,2.9,0
1997-12-01,BAMLH0A0HYM2,2.9,2.9,2.9,2.9,0
1997-12-02,BAMLH0A0HYM2,2.87,2.87,2.87,2.87,0
1997-12-03,BAMLH0A0HYM2,2.88,2.88,2.88,2.88,0
1997-12-04,BAMLH0A0HYM2,2.87,2.87,2.87,2.87,0
1997-12-05,BAMLH0A0HYM2,2.81,2.81,2.81,2.81,0
1997-12-08,BAMLH0A0HYM2,2.77,2.77,2.77,2.77,0
1997-12-09,BAMLH0A0HYM2,2.79,2.79,2.79,2.79,0
1997-12-10,BAMLH0A0HYM2,2.82,2.82,2.82,2.82,0
1997-12-11,BAMLH0A0HYM2,2.88,2.88,2.88,2.88,0
1997-12-12,BAMLH0A0HYM2,2.94,2.94,2.94,2.94,0
1997-12-15,BAMLH0A0HYM2,2.89,2.89,2.89,2.89,0
1997-12-16,BAMLH0A0HYM2,2.9,2.9,2.9,2.9,0
1997-12-17,BAMLH0A0HYM2,2.87,2.87,2.87,2.87,0
1997-12-18,BAMLH0A0HYM2,2.89,2.89,2.89,2.89,0
1997-12-19,BAMLH0A0HYM2,2.93,2.93,2.93,2.93,0
1997-12-22,BAMLH0A0HYM2,2.93,2.93,2.93,2.93,0
1997-12-23,BAMLH0A0HYM2,2.94,2.94,2.94,2.94,0
1997-12-24,BAMLH0A0HYM2,2.94,2.94,2.94,2.94,0
1997-12-25,BAMLH0A0HYM2,,,,,0
1997-12-26,BAMLH0A0HYM2,2.93,2.93,2.93,2.93,0
1997-12-29,BAMLH0A0HYM2,2.92,2.92,2.92,2.92,0
1997-12-30,BAMLH0A0HYM2,2.91,2.91,2.91,2.91,0
1997-12-31,BAMLH0A0HYM2,2.96,2.96,2.96,2.96,0
1998-01-01,BAMLH0A0HYM2,,,,,0
1998-01-02,BAMLH0A0HYM2,3.02,3.02,3.02,3.02,0
1998-01-05,BAMLH0A0HYM2,3.09,3.09,3.09,3.09,0
1998-01-06,BAMLH0A0HYM2,3.1,3.1,3.1,3.1,0
1998-01-07,BAMLH0A0HYM2,3.07,3.07,3.07,3.07,0
1998-01-08,BAMLH0A0HYM2,3.1,3.1,3.1,3.1,0
1998-01-09,BAMLH0A0HYM2,3.16,3.16,3.16,3.16,0
1998-01-12,BAMLH0A0HYM2,3.16,3.16,3.16,3.16,0
1998-01-13,BAMLH0A0HYM2,3.14,3.14,3.14,3.14,0
1998-01-14,BAMLH0A0HYM2,3.1,3.1,3.1,3.1,0
1998-01-15,BAMLH0A0HYM2,3.07,3.07,3.07,3.07,0
1998-01-16,BAMLH0A0HYM2,3.01,3.01,3.01,3.01,0
1998-01-19,BAMLH0A0HYM2,3.01,3.01,3.01,3.01,0
1998-01-20,BAMLH0A0HYM2,2.98,2.98,2.98,2.98,0
1998-01-21,BAMLH0A0HYM2,2.99,2.99,2.99,2.99,0
1998-01-22,BAMLH0A0HYM2,2.98,2.98,2.98,2.98,0
1998-01-23,BAMLH0A0HYM2,2.9,2.9,2.9,2.9,0
1998-01-26,BAMLH0A0HYM2,2.92,2.92,2.92,2.92,0
1998-01-27,BAMLH0A0HYM2,2.89,2.89,2.89,2.89,0
1998-01-28,BAMLH0A0HYM2,2.89,2.89,2.89,2.89,0
1998-01-29,BAMLH0A0HYM2,2.95,2.95,2.95,2.95,0
1998-01-30,BAMLH0A0HYM2,2.98,2.98,2.98,2.98,0
1998-01-31,BAMLH0A0HYM2,3.0,3.0,3.0,3.0,0
1998-02-02,BAMLH0A0HYM2,2.96,2.96,2.96,2.96,0
1998-02-03,BAMLH0A0HYM2,2.98,2.98,2.98,2.98,0
1998-02-04,BAMLH0A0HYM2,2.98,2.98,2.98,2.98,0
1998-02-05,BAMLH0A0HYM2,2.94,2.94,2.94,2.94,0
1998-02-06,BAMLH0A0HYM2,2.93,2.93,2.93,2.93,0
1998-02-09,BAMLH0A0HYM2,2.92,2.92,2.92,2.92,0
1998-02-10,BAMLH0A0HYM2,2.93,2.93,2.93,2.93,0
1998-02-11,BAMLH0A0HYM2,2.96,2.96,2.96,2.96,0
1998-02-12,BAMLH0A0HYM2,2.95,2.95,2.95,2.95,0
1998-02-13,BAMLH0A0HYM2,2.97,2.97,2.97,2.97,0
1998-02-16,BAMLH0A0HYM2,2.96,2.96,2.96,2.96,0
1998-02-17,BAMLH0A0HYM2,2.94,2.94,2.94,2.94,0
1998-02-18,BAMLH0A0HYM2,2.94,2.94,2.94,2.94,0
1998-02-19,BAMLH0A0HYM2,2.93,2.93,2.93,2.93,0
1998-02-20,BAMLH0A0HYM2,2.91,2.91,2.91,2.91,0
1998-02-23,BAMLH0A0HYM2,2.88,2.88,2.88,2.88,0
1998-02-24,BAMLH0A0HYM2,2.83,2.83,2.83,2.83,0
1998-02-25,BAMLH0A0HYM2,2.87,2.87,2.87,2.87,0
1998-02-26,BAMLH0A0HYM2,2.86,2.86,2.86,2.86,0
1998-02-27,BAMLH0A0HYM2,2.88,2.88,2.88,2.88,0
1998-02-28,BAMLH0A0HYM2,2.87,2.87,2.87,2.87,0
1998-03-02,BAMLH0A0HYM2,2.8,2.8,2.8,2.8,0
1998-03-03,BAMLH0A0HYM2,2.79,2.79,2.79,2.79,0
1998-03-04,BAMLH0A0HYM2,2.81,2.81,2.81,2.81,0
1998-03-05,BAMLH0A0HYM2,2.82,2.82,2.82,2.82,0
1998-03-06,BAMLH0A0HYM2,2.85,2.85,2.85,2.85,0
1998-03-09,BAMLH0A0HYM2,2.88,2.88,2.88,2.88,0
1998-03-10,BAMLH0A0HYM2,2.89,2.89,2.89,2.89,0
1998-03-11,BAMLH0A0HYM2,2.89,2.89,2.89,2.89,0
